dt,dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon
1388534400,2014-01-01 00:00:00 +0000 UTC,263.15,263.15,263.15,1027,78,0,0,75,803,Clouds,broken clouds,4
1388538000,2014-01-01 01:00:00 +0000 UTC,263.15,263.15,263.15,1027,78,0,176,75,701,Mist,mist,50n
1388541600,2014-01-01 02:00:00 +0000 UTC,263.15,263.15,263.15,1027,78,1,0,75,701,Mist,mist,50n
1388545200,2014-01-01 03:00:00 +0000 UTC,263.15,263.15,263.15,1027,85,2,0,75,701,Mist,mist,50n
1388548800,2014-01-01 04:00:00 +0000 UTC,262.15,262.15,262.15,1028,85,2,0,75,701,Mist,mist,50d
1388552400,2014-01-01 05:00:00 +0000 UTC,263.15,263.15,263.15,1028,85,0,176,75,701,Mist,mist,50d
1388556000,2014-01-01 06:00:00 +0000 UTC,264.15,264.15,264.15,1028,78,0,176,75,701,Mist,mist,50d
1388559600,2014-01-01 07:00:00 +0000 UTC,265.15,265.15,265.15,1028,72,0,176,75,701,Mist,mist,50d
1388563200,2014-01-01 08:00:00 +0000 UTC,265.15,265.15,265.15,1027,78,0,176,75,701,Mist,mist,50d
1388566800,2014-01-01 09:00:00 +0000 UTC,266.15,266.15,266.15,1026,73,0,176,75,701,Mist,mist,50d
1388570400,2014-01-01 10:00:00 +0000 UTC,266.15,266.15,266.15,1026,73,0,176,75,701,Mist,mist,50d
1388574000,2014-01-01 11:00:00 +0000 UTC,267.15,267.15,267.15,1026,67,1,0,75,701,Mist,mist,50d
1388577600,2014-01-01 12:00:00 +0000 UTC,266.15,266.15,266.15,1027,73,0,176,75,701,Mist,mist,50d
1388581200,2014-01-01 13:00:00 +0000 UTC,267.15,267.15,267.15,1027,67,0,176,75,701,Mist,mist,50d
1388584800,2014-01-01 14:00:00 +0000 UTC,267.15,267.15,267.15,1028,67,0,176,75,701,Mist,mist,50n
1388588400,2014-01-01 15:00:00 +0000 UTC,267.15,267.15,267.15,1028,67,0,176,75,701,Mist,mist,50n
1388592000,2014-01-01 16:00:00 +0000 UTC,267.15,267.15,267.15,1028,73,0,176,75,701,Mist,mist,50n
1388595600,2014-01-01 17:00:00 +0000 UTC,267.15,267.15,267.15,1028,73,0,176,75,701,Mist,mist,50n
1388599200,2014-01-01 18:00:00 +0000 UTC,267.15,267.15,267.15,1028,79,0,176,75,701,Mist,mist,50n
1388602800,2014-01-01 19:00:00 +0000 UTC,267.15,267.15,267.15,1028,79,0,176,75,701,Mist,mist,50n
1388606400,2014-01-01 20:00:00 +0000 UTC,267.15,267.15,267.15,1028,79,0,176,75,701,Mist,mist,50n
1388610000,2014-01-01 21:00:00 +0000 UTC,267.15,267.15,267.15,1028,79,0,176,75,701,Mist,mist,50n
1388613600,2014-01-01 22:00:00 +0000 UTC,267.15,267.15,267.15,1028,79,0,176,75,701,Mist,mist,50n
